name,address,phone,website,type,degrees,campus_setting,campus_housing,student_population,student_teacher_ratio,tot_enrol,undergrad_enrol,latitude,longitude,geoid
Strayer University-Newport News Campus,99 Old Oyster Point Road Unit 1 Newport News Virginia 23602,(877) 445-7180,www.strayer.edu/campus-locations/virginia/newport-news,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,City: Midsize,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,,,,37.1058418,-76.4739313,517750102001
Strayer University-Virginia,2121 15th Street N Arlington Virginia 22201,(877) 445-7180,www.strayer.edu/campus-locations/virginia/arlington,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,City: Midsize,No,"4,797 (3,819 undergraduate)","28 to 1View noteThough reported by campus, faculty members from online courses are drawn from the entire United States.  One hundred percent (100%) of Strayer students as of fall 2020 took all courses online.  As a whole, Strayer University's student to faculty ratio is 28:1.",797.0,3,38.8910064,-77.0850922,517700030002
Strayer University-Virginia Beach Campus,249 Central Park Avenue Ste 350 Virginia Beach Virginia 23462,(877) 445-7180,www.strayer.edu/campus-locations/virginia/virginia-beach,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,City: Large,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,,,,36.8429901,-76.1341894,517600104023
Strayer University-Woodbridge Campus,13385 Minnieville Rd Woodbridge Virginia 22192,(877) 445-7180,www.strayer.edu/campus-locations/virginia/woodbridge,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,Suburb: Large,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,,,,38.6577312,-77.301479,518100462221
Sweet Briar College,134 Chapel Drive Sweet Briar Virginia 24595-9998,(434) 381-6100,www.sbc.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,Suburb: Midsize,Yes,362 (356 undergraduate),8 to 1,362.0,356,37.5567346,-79.081011,511076110203
The Art Institute of Virginia Beach,Two Columbus Center 4500 Main St Ste 100 Virginia Beach Virginia 23462,(757) 493-6700,www.artinstitutes.edu/virginia-beach/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Large,No,223 (all undergraduate),20 to 1,223.0,all,36.8424089,-76.1322277,510030113032
The University of Virginia's College at Wise,1 College Avenue Wise Virginia 24293-4400,(276) 328-0100,www.uvawise.edu/,"4-year, Public",Bachelor's degree,Town: Distant,Yes,"1,905 (all undergraduate)",11 to 1,905.0,all,36.9707461,-82.5604501,516500103131
Union Presbyterian Seminary,3401 Brook Rd Richmond Virginia 23227,(804) 355-0671,www.upsem.edu/,"4-year, Private not-for-profit",Master's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Midsize,Yes,169 (0 undergraduate),This is the parent institution of:Union Presbyterian Seminary-Charlotte,169.0,0,37.578937,-77.4492786,516500104004
University of Lynchburg,1501 Lakeside Dr Lynchburg Virginia 24501-3113,(434) 544-8100,www.lynchburg.edu/,"4-year, Private not-for-profit",Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Small,Yes,"2,692 (1,822 undergraduate)",10 to 1,692.0,1,37.4006002,-79.183153,510411001071
University of Management and Technology,1901 Fort Myer Drive Suite 700 Arlington Virginia 22209-1609,(703) 516-0035,www.umtweb.edu/,"4-year, Private for-profit",Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,City: Midsize,No,295 (193 undergraduate),9 to 1,295.0,193,38.897442,-77.072047,510594605011
University of Mary Washington,1301 College Ave Fredericksburg Virginia 22401-5300,(540) 654-1000,www.umw.edu/,"4-year, Public",Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degree,Suburb: Midsize,Yes,"4,293 (3,993 undergraduate)",13 to 1,293.0,3,38.301553,-77.4729503,510594605011
University of Richmond,410 Westhampton Way University of Richmond Virginia 23173,(804) 289-8000,www.richmond.edu/,"4-year, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - professional practice,City: Midsize,Yes,"4,056 (3,323 undergraduate)",8 to 1,56.0,3,37.5768593,-77.5404459,511210210002
University of the Potomac-VA Campus,7799 LEESBURG PIKE FALLS CHURCH Virginia 22043-2536,(202) 521-1290,www.potomac.edu/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,Suburb: Large,No,197 (48 undergraduate),11 to 1,197.0,48,38.906889,-77.2159938,516200901001
University of Virginia-Main Campus,1827 University Avenue Charlottesville Virginia 22903-2628,(434) 924-0311,www.virginia.edu/,"4-year, Public",Less than one year certificateOne but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Suburb: Small,Yes,"25,628 (17,310 undergraduate)",15 to 1,628.0,17,38.0370443,-78.5026341,511910105023
Virginia Beach Theological Seminary,2221 Centerville Turnpike Virginia Beach Virginia 23464-6847,(757) 479-3706,www.vbts.edu/,"4-year, Private not-for-profit",One but less than two years certificateMaster's degreeDoctor's degree - professional practice,City: Large,No,35 (0 undergraduate),,35.0,0,36.7664784,-76.189384,515200202002
Virginia Commonwealth University,910 W Franklin St Richmond Virginia 23284-2512,(804) 828-0100,www.vcu.edu/,"4-year, Public",Two but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Midsize,Yes,"29,070 (21,943 undergraduate)",18 to 1,70.0,21,37.5496312,-77.4526597,516789305002
Virginia Military Institute,VMI Parade Lexington Virginia 24450-0304,(540) 464-7207,www.vmi.edu/,"4-year, Public",Bachelor's degree,Town: Distant,Yes,"1,698 (all undergraduate)",11 to 1,698.0,all,37.7913335,-79.4378109,510872005022
Virginia Polytechnic Institute and State University,210 Burruss Hall 800 Drillfield Dr. Blacksburg Virginia 24061-0131,(540) 231-6994,www.vt.edu/,"4-year, Public",Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Small,Yes,"37,024 (30,020 undergraduate)",14 to 1,24.0,30,37.22872,-80.423338,510872004091
Virginia State University,1 Hayden Drive Petersburg Virginia 23806,(804) 524-5000,www.vsu.edu/,"4-year, Public",Bachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,Suburb: Large,Yes,"4,020 (3,659 undergraduate)",12 to 1,20.0,3,37.2364644,-77.4198758,510872008011
Virginia Union University,1500 N Lombardy St Richmond Virginia 23220,(804) 257-5600,www.vuu.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degreeDoctor's degree,City: Midsize,Yes,"1,516 (1,209 undergraduate)",21 to 1,516.0,1,37.5599032,-77.4518215,510010907002
Virginia University of Integrative Medicine,9401 Mathy Drive Ste 100 Fairfax Virginia 22031-5310,(703) 323-5690,www.vuim.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Suburb: Large,No,362 (0 undergraduate),,362.0,0,38.8445181,-77.2697534,510890103001
Virginia University of Lynchburg,2058 Garfield Ave Lynchburg Virginia 24501,(434) 528-5276 x1145,www.vul.edu/,"4-year, primarily associate's, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degreeDoctor's degree,City: Small,Yes,244 (122 undergraduate),14 to 1,244.0,122,37.3951947,-79.1515461,518400003012
Virginia Wesleyan University,5817 Wesleyan Drive Virginia Beach Virginia 23455,(757) 455-3200,www.vwu.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,City: Large,Yes,"1,347 (1,274 undergraduate)",12 to 1,347.0,1,36.873669,-76.187809,510731001001
Washington and Lee University,204 West Washington Street Lexington Virginia 24450-2116,(540) 458-8400,www.wlu.edu/,"4-year, Private not-for-profit",Bachelor's degreeDoctor's degree - professional practice,Town: Distant,Yes,"2,183 (1,822 undergraduate)",8 to 1,183.0,1,37.7862788,-79.4440548,511790103032
William & Mary,200 Richmond Road Williamsburg Virginia 23187-8795,(757) 221-4000,www.wm.edu/,"4-year, Public",Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Suburb: Small,Yes,"8,939 (6,236 undergraduate)",11 to 1,939.0,6,37.271949,-76.709328,510853206022
Advanced Technology Institute,5700 Southern Blvd Ste 100 Virginia Beach Virginia 23462,(757) 490-1241,www.auto.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Large,No,461 (all undergraduate),14 to 1,461.0,all,36.8418654,-76.181906,511371101031
American National University,1813 East Main Street Salem Virginia 24153,(540) 986-1800,www.an.edu/locations/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,Suburb: Midsize,No,931 (810 undergraduate),39 to 1,931.0,810,37.2997396,-80.0234938,510050802012
Aviation Institute of Maintenance-Manassas,10640 Davidson Place Manassas Virginia 20109,(703) 257-5515,www.aviationmaintenance.edu/campuses/washington-dc-va/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateTwo but less than 4 years certificate,Suburb: Large,No,181 (all undergraduate),11 to 1,181.0,all,38.7945428,-77.5145557,517000321261
Aviation Institute of Maintenance-Norfolk,2329 E. Little Creek Road Norfolk Virginia 23518,(757) 363-2121,www.aviationmaintenance.edu/campuses/norfolk-va/,"2-year, Private for-profit",One but less than two years certificateTwo but less than 4 years certificate,City: Midsize,No,230 (all undergraduate),15 to 1,230.0,all,36.914334,-76.2174283,517100066051
Blue Ridge Community College,1 College Lane Weyers Cave Virginia 24486-0080,(540) 234-9261,www.brcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"3,462 (all undergraduate)",18 to 1,462.0,all,38.2781364,-78.9390334,517700003003
Bon Secours St Mary's Hospital School of Medical Imaging,8550 Magellan Pkwy Ste 700 Richmond Virginia 23227,(804) 627-5408,www.mysomi.org/,"2-year, Private not-for-profit",Two but less than 4 years certificate,Suburb: Large,No,29 (all undergraduate),5 to 1,29.0,all,37.6468246,-77.4329945,510411009221
Bryant & Stratton College-Virginia Beach,301 Centre Pointe Dr Virginia Beach Virginia 23462,(757) 499-7900,www.bryantstratton.edu/,"4-year, primarily associate's, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Large,No,"1,515 (all undergraduate)",18 to 1,515.0,all,36.8278959,-76.1381446,516500114001
Centra College,905 Lakeside Dr. Suite A Lynchburg Virginia 24501,(434) 200-3070,www.centrahealth.com/ccon,"4-year, primarily associate's, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Small,No,314 (all undergraduate),11 to 1,314.0,all,37.404822,-79.1740764,518100460091
Central Virginia Community College,3506 Wards Rd Lynchburg Virginia 24502-2498,(434) 832-7600,www.centralvirginia.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,City: Small,No,"3,370 (all undergraduate)",19 to 1,370.0,all,37.3593436,-79.183912,518100460091
Centura College-Chesapeake,932 B Ventures Way Chesapeake Virginia 23320,(757) 549-2121,www.centuracollege.edu/campuses/chesapeake/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,Suburb: Large,No,164 (all undergraduate),14 to 1,164.0,all,36.7660867,-76.2277695,518100460091
Centura College-Newport News,616 Denbigh Blvd. Newport News Virginia 23608,(757) 874-2121,www.centuracollege.edu/campuses/newport-news/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,195 (all undergraduate),13 to 1,195.0,all,37.1405107,-76.5173449,518100460091
Centura College-Norfolk,7020 North Military Highway Norfolk Virginia 23518-4833,(757) 853-2121,www.centuracollege.edu/campuses/norfolk/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,213 (all undergraduate),8 to 1,213.0,all,36.9083505,-76.2327598,518100454233
Centura College-Richmond Main,7914 Midlothian Turnpike North Chesterfield Virginia 23235-5250,(804) 330-0111,www.centuracollege.edu/campuses/richmond/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,160 (all undergraduate),11 to 1,160.0,all,37.4993366,-77.5432227,510411009281
Centura College-Virginia Beach,2697 Dean Dr. Ste. 100 Virginia Beach Virginia 23452-7431,(757) 340-2121 x310,www.centuracollege.edu/campuses/virginia-beach/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degree,City: Large,No,99 (all undergraduate),8 to 1,99.0,all,36.8375601,-76.064528,511610302031
Chester Career College,751 WEST HUNDRED ROAD CHESTER Virginia 23836,(804) 425-5797,chestercareercollege.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,159 (all undergraduate),20 to 1,159.0,all,37.348819,-77.373918,510594408003
Columbia College,5940 Centreville Crest Lane Centreville Virginia 20121,(703) 266-0508,www.ccdc.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,185 (all undergraduate),15 to 1,185.0,all,38.8380326,-77.4344968,517600111004
Columbia College,8620 Westwood Center Drive Vienna Virginia 22182,(703) 206-0508,www.ccdc.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,371 (all undergraduate),18 to 1,371.0,all,38.9284029,-77.2490916,510872009042
Dabney S Lancaster Community College,1000 Dabney Drive Clifton Forge Virginia 24422-1000,(540) 863-2800,www.dslcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"1,075 (all undergraduate)",17 to 1,75.0,all,37.8118233,-79.851929,510872009042
Danville Community College,1008 S Main St Danville Virginia 24541-4004,(434) 797-2222,www.danville.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Town: Distant,No,"2,411 (all undergraduate)",20 to 1,411.0,all,36.5644841,-79.4091964,510872001291
Eastern Shore Community College,29300 Lankford Hwy Melfa Virginia 23410,(757) 789-1789,www.es.vccs.edu/,"2-year, Public",One but less than two years certificateAssociate's degree,Rural: Remote,No,677 (all undergraduate),16 to 1,677.0,all,37.6441571,-75.7463725,510872001272
Eastern Virginia Career College,10304 Spotsylvania Ave Suite 400 Fredericksburg Virginia 22408,(540) 373-4465 x221,www.evcc.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Suburb: Midsize,No,190 (all undergraduate),7 to 1,190.0,all,38.241156,-77.4955945,510594405021
ECPI University,5555 Greenwich Rd Virginia Beach Virginia 23462,(757) 490-9090,www.ecpi.edu/,"4-year, primarily associate's, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,City: Large,No,"14,353 (13,983 undergraduate)",16 to 1,353.0,13,36.8425384,-76.178872,511479303002
Fortis College-Norfolk,6300 Center Dr Bldg 22 Norfolk Virginia 23502-4101,(757) 499-5447 x1344,www.fortisedu.info/cig-vabeach.php,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,454 (all undergraduate),27 to 1,454.0,all,36.8470197,-76.190283,516800001002
Fortis College-Richmond,2000 Westmoreland Street Suite A Richmond Virginia 23230,(804) 323-1020,www.fortis.edu/,"2-year, Private for-profit",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,507 (all undergraduate),25 to 1,507.0,all,37.5804978,-77.4870506,516800002031
Germanna Community College,2130 Germanna Hwy Locust Grove Virginia 22508-2102,(540) 423-9030,www.germanna.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"7,679 (all undergraduate)",25 to 1,679.0,all,38.3752082,-77.7798052,516800019003
J Sargeant Reynolds Community College,1651 East Parham Road Richmond Virginia 23228-2327,(804) 371-3000,www.reynolds.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,"7,759 (all undergraduate)",21 to 1,759.0,all,37.6340816,-77.4758617,516800019003
John Tyler Community College,13101 Jefferson Davis Hwy Chester Virginia 23831-5316,(804) 796-4000,jtcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,"9,440 (all undergraduate)",22 to 1,440.0,all,37.3466091,-77.4077974,516800014001
Life Pacific University-Virginia,900 Life Drive Christiansburg Virginia 24073,(540) 394-7200,www.lifepacific.edu/virginiacampus,"2-year, Private not-for-profit",Associate's degree,City: Small,No,Life Pacific University (Parent):Life Pacific University-Virginia,,,,37.1161929,-80.4150376,516800016001
Lord Fairfax Community College,173 Skirmisher Lane Middletown Virginia 22645,(800) 906-5322,www.lfcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"6,337 (all undergraduate)",23 to 1,337.0,all,39.0351031,-78.2668526,516800016001
Mountain Empire Community College,3441 Mountain Empire Road Big Stone Gap Virginia 24219,(276) 523-2400,www.mecc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Town: Distant,No,"2,253 (all undergraduate)",19 to 1,253.0,all,36.8543213,-82.7599351,518100444021
New River Community College,5251 College Drive Dublin Virginia 24084-3660,(540) 674-3600,www.nr.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Town: Fringe,No,"4,137 (all undergraduate)",30 to 1,137.0,all,37.1052302,-80.695624,518100460052
Northern Virginia Community College,4001 Wakefield Chapel Rd Annandale Virginia 22003-3796,(703) 323-3000,www.nvcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Large,No,"52,873 (all undergraduate)",28 to 1,873.0,all,38.8363305,-77.2380855,518100460052
Patrick Henry Community College,645 Patriot Avenue Martinsville Virginia 24112,(276) 656-0200,www.patrickhenry.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Fringe,No,"2,050 (all undergraduate)",18 to 1,50.0,all,36.7397709,-79.8748169,518100402002
Paul D Camp Community College,100 N College Dr Franklin Virginia 23851,(757) 569-6700,www.pdc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Town: Distant,No,"1,237 (all undergraduate)",16 to 1,237.0,all,36.6744182,-76.9378049,517100069013
Piedmont Virginia Community College,501 College Drive Charlottesville Virginia 22902-7589,(434) 977-3900,www.pvcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Suburb: Small,No,"4,864 (all undergraduate)",17 to 1,864.0,all,38.0069995,-78.4844292,517100059031
Rappahannock Community College,12745 College Drive Glenns Virginia 23149-2616,(804) 758-6700,www.rappahannock.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,Rural: Distant,No,"2,629 (all undergraduate)",18 to 1,629.0,all,37.5643561,-76.623862,511850202003
Richard Bland College,11301 Johnson Road South Prince George Virginia 23805-7100,(804) 862-6100,www.rbc.edu/,"2-year, Public",Less than one year certificateAssociate's degree,Rural: Fringe,Yes,"2,218 (all undergraduate)",27 to 1,218.0,all,37.1566711,-77.3964344,511552102021
Riverside College of Health Careers,316 Main Street Newport News Virginia 23601,(757) 240-2200,riverside.edu/,"4-year, primarily associate's, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Midsize,No,303 (all undergraduate),11 to 1,303.0,all,37.0349489,-76.4562635,510270106002
Southside College of Health Sciences,430 Clairmont Court - Suite 200 Colonial Heights Virginia 23834,(804) 765-5800,www.srmconline.com/,"2-year, Private for-profit",Associate's degree,Suburb: Large,No,115 (all undergraduate),"8 to 1View noteStudent to faculty ratio in clinical is 8:1 or less, and in class the ratio is no more than 32:1",115.0,all,37.2677188,-77.4002174,510150703001
Southside Virginia Community College,109 Campus Drive Alberta Virginia 23821,(888) 220-7822,www.southside.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Rural: Distant,No,"3,123 (all undergraduate)",21 to 1,123.0,all,36.8392995,-77.9163459,511770202041
Southwest Virginia Community College,369 College Road       US Rt. 19 6 Miles S. Claypool Hill Cedar Bluff Virginia 24609,(276) 964-2555,sw.edu/,"2-year, Public",One but less than two years certificateAssociate's degree,Rural: Fringe,No,"2,295 (all undergraduate)",19 to 1,295.0,all,37.0632891,-81.7497988,510594802022
Sovah School of Health Professions,109 Bridge St. Suite 200 Danville Virginia 24541,(434) 799-2271,www.sovahhealth.com/careers-education/school-of-health-professions,"2-year, Private for-profit",Associate's degree,Town: Distant,No,13 (all undergraduate),3 to 1,13.0,all,36.5884912,-79.3886434,511076110151
Standard Healthcare Services-College of Nursing,7704 Leesburg Pike Suite 1000 Falls Church Virginia 22043,(703) 891-1787,www.standardcollege.edu/,"2-year, Private for-profit",One but less than two years certificateAssociate's degree,Suburb: Large,No,441 (all undergraduate),35 to 1,441.0,all,38.9079727,-77.2105854,510594503004
Thomas Nelson Community College,99 Thomas Nelson Drive Hampton Virginia 23666,(757) 825-2700,tncc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,"6,256 (all undergraduate)",18 to 1,256.0,all,37.0634225,-76.4186005,518100426001
Tidewater Community College,121 College Place Norfolk Virginia 23510,(757) 822-1122,www.tcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Midsize,No,"16,769 (all undergraduate)",20 to 1,769.0,all,36.850098,-76.2913302,518100426001
Virginia Highlands Community College,100 VHCC Drive Abingdon Virginia 24212-0828,(276) 739-2400,www.vhcc.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Suburb: Small,No,"2,086 (all undergraduate)",19 to 1,86.0,all,36.6994053,-82.001486,510131018021
Virginia University of Lynchburg,2058 Garfield Ave Lynchburg Virginia 24501,(434) 528-5276 x1145,www.vul.edu/,"4-year, primarily associate's, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degreeDoctor's degree,City: Small,Yes,244 (122 undergraduate),14 to 1,244.0,122,37.3951947,-79.1515461,510090102003
Virginia Western Community College,3094 Colonial Ave Roanoke Virginia 24015,(540) 857-8922,virginiawestern.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degree,City: Small,No,"5,738 (all undergraduate)",22 to 1,738.0,all,37.246308,-79.9737355,515708302001
Wave Leadership College,1000 North Great Neck Road Virginia Beach Virginia 23454-2140,(757) 401-6426,wavecollege.edu/,"2-year, Private not-for-profit",Associate's degree,City: Large,No,41 (all undergraduate),8 to 1,41.0,all,36.8645978,-76.0433612,515102007011
Wytheville Community College,1000 E Main Street Wytheville Virginia 24382-3308,(276) 223-4700,www.wcc.vccs.edu/,"2-year, Public",Less than one year certificateOne but less than two years certificateAssociate's degreeTwo but less than 4 years certificate,Town: Distant,No,"2,244 (all undergraduate)",24 to 1,244.0,all,36.9525203,-81.0729252,515102007011
American Massage & Bodywork Institute,1593 Spring Hill Road Suite 210 Vienna Virginia 22182-2245,(571) 620-7170,www.ambimassageschool.com/,"< 2-year, Private for-profit",Less than one year certificate,Suburb: Large,No,99 (all undergraduate),10 to 1,99.0,all,38.9261106,-77.2447101,510411009343
Another Level Barbering and Cosmetology School,102 North Sycamore Street Petersburg Virginia 23803-3245,(804) 733-3337,www.albcschool.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,7 (all undergraduate),2 to 1,7.0,all,37.2285345,-77.4042775,515900007001
Asher Institute of Hampton,4107 West Mercury Blvd Hampton Virginia 23666,(757) 723-4809,www.aiofhampton.edu/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,City: Midsize,No,8 (all undergraduate),17 to 1,8.0,all,37.0267085,-76.4260284,515900007001
Avi Career Training,10130-a Colvin Run Rd Great Falls Virginia 22066,(703) 759-2200,www.avicareertraining.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,36 (all undergraduate),7 to 1,36.0,all,38.974284,-77.2967819,510594822022
Bristol School of Hair Design,805 Commonwealth Avenue Bristol Virginia 24201-3323,(276) 669-2112,www.bristolschoolofhairdesign.com/,"< 2-year, Private for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Small,No,37 (all undergraduate),15 to 1,37.0,all,36.6052212,-82.192414,510594526003
Cayce/Reilly School of Massage,215 67th Street Virginia Beach Virginia 23451,(757) 457-7270,www.edgarcayce.org/massageschool/home.aspx,"< 2-year, Private not-for-profit",Less than one year certificate,City: Large,No,42 (all undergraduate),12 to 1,42.0,all,36.8924656,-75.9908834,510131015004
Central School of Practical Nursing,1330 N Millitary Hwy Norfolk Virginia 23502,(757) 892-3300,www.npsk12.com/domain/980,"< 2-year, Public",One but less than two years certificate,City: Midsize,No,28 (all undergraduate),7 to 1,28.0,all,36.8691966,-76.209435,510131016033
CET-Alexandria,6295 Edsall Rd Plaza 500 Ste. 220 Alexandria Virginia 22312,(408) 287-7924,cetweb.edu/,"< 2-year, Private not-for-profit",Less than one year certificateOne but less than two years certificate,Suburb: Large,No,101 (all undergraduate),20 to 1,101.0,all,38.8024076,-77.142377,510670206001
Culpeper Cosmetology Training Center,311 South East Street #120 Culpeper Virginia 22701-1055,(540) 727-8003,www.culpepercosmetology.com/,"< 2-year, Public",One but less than two years certificate,Town: Distant,No,26 (all undergraduate),13 to 1,26.0,all,38.4712006,-77.9950593,510872001261
Dermal Science International Aesthetics and Nail Academy,11301 Sunset Hills Rd Suite A-5 Reston Virginia 20190,(703) 910-2323,dsiacademy.edu/,"< 2-year, Private for-profit",Less than one year certificate,City: Small,No,56 (all undergraduate),12 to 1,56.0,all,38.9496995,-77.3367049,511910106021
Empire Beauty School-Midlothian,10807 Hull Street Rd Midlothian Virginia 23112,(800) 920-4593,www.empire.edu/,"< 2-year, Private for-profit",One but less than two years certificate,Suburb: Large,No,75 (all undergraduate),18 to 1,75.0,all,37.4383981,-77.5936729,511959312002
Empire Beauty School-Newport News,12365 Hornsby Lane Newport News Virginia 23602-6958,(800) 920-4593,www.empire.edu/,"< 2-year, Private for-profit",One but less than two years certificate,City: Midsize,No,59 (all undergraduate),28 to 1,59.0,all,37.1144267,-76.5044263,510594401003
